sample,wavelength,cm2_dmol-1,voltage
Alpha_20,242.5,0.0162041,298.867
Alpha_20,242.4,0.0207386,298.93
Alpha_20,242.3,-0.000744629,298.992
Alpha_20,242.2,0.00886536,299.056
Alpha_20,242.1,-0.0245396,299.121
Alpha_20,242,-0.049548,299.185
Alpha_20,241.9,-0.0952476,299.248
Alpha_20,241.8,-0.0863392,299.312
Alpha_20,241.7,-0.0543045,299.381
Alpha_20,241.6,-0.0619686,299.448
Alpha_20,241.5,-0.0522556,299.515
Alpha_20,241.4,-0.0465031,299.579
Alpha_20,241.3,-0.024567,299.643
Alpha_20,241.2,0.0102921,299.709
Alpha_20,241.1,0.00941849,299.778
Alpha_20,241,0.0148911,299.846
Alpha_20,240.9,-0.00163651,299.911
Alpha_20,240.8,-0.0294685,299.977
Alpha_20,240.7,-0.0102074,300.048
Alpha_20,240.6,-0.0538151,300.12
Alpha_20,240.5,-0.0665829,300.192
Alpha_20,240.4,-0.102462,300.265
Alpha_20,240.3,-0.12719,300.338
Alpha_20,240.2,-0.15307,300.414
Alpha_20,240.1,-0.149194,300.49
Alpha_20,240,-0.136806,300.565
Alpha_20,239.9,-0.102549,300.64
Alpha_20,239.8,-0.101568,300.719
Alpha_20,239.7,-0.0873966,300.799
Alpha_20,239.6,-0.11392,300.88
Alpha_20,239.5,-0.111256,300.959
Alpha_20,239.4,-0.124527,301.04
Alpha_20,239.3,-0.13682,301.119
Alpha_20,239.2,-0.188657,301.201
Alpha_20,239.1,-0.188179,301.281
Alpha_20,239,-0.197605,301.362
Alpha_20,238.9,-0.139043,301.44
Alpha_20,238.8,-0.114527,301.522
Alpha_20,238.7,-0.121656,301.603
Alpha_20,238.6,-0.145434,301.686
Alpha_20,238.5,-0.183318,301.769
Alpha_20,238.4,-0.231862,301.855
Alpha_20,238.3,-0.22605,301.939
Alpha_20,238.2,-0.203483,302.022
Alpha_20,238.1,-0.234026,302.103
Alpha_20,238,-0.226714,302.185
Alpha_20,237.9,-0.221424,302.265
Alpha_20,237.8,-0.167922,302.35
Alpha_20,237.7,-0.207544,302.435
Alpha_20,237.6,-0.280893,302.523
Alpha_20,237.5,-0.327153,302.614
Alpha_20,237.4,-0.322206,302.698
Alpha_20,237.3,-0.383586,302.779
Alpha_20,237.2,-0.357283,302.865
Alpha_20,237.1,-0.373769,302.948
Alpha_20,237,-0.388432,303.031
Alpha_20,236.9,-0.419602,303.112
Alpha_20,236.8,-0.379048,303.197
Alpha_20,236.7,-0.387016,303.281
Alpha_20,236.6,-0.423236,303.371
Alpha_20,236.5,-0.452602,303.455
Alpha_20,236.4,-0.426028,303.538
Alpha_20,236.3,-0.46398,303.622
Alpha_20,236.2,-0.517643,303.705
Alpha_20,236.1,-0.516158,303.794
Alpha_20,236,-0.544016,303.881
Alpha_20,235.9,-0.552713,303.966
Alpha_20,235.8,-0.548144,304.056
Alpha_20,235.7,-0.565001,304.145
Alpha_20,235.6,-0.567411,304.236
Alpha_20,235.5,-0.63717,304.33
Alpha_20,235.4,-0.718361,304.426
Alpha_20,235.3,-0.699145,304.52
Alpha_20,235.2,-0.65979,304.609
Alpha_20,235.1,-0.68406,304.701
Alpha_20,235,-0.682282,304.793
Alpha_20,234.9,-0.624332,304.88
Alpha_20,234.8,-0.635587,304.971
Alpha_20,234.7,-0.626988,305.064
Alpha_20,234.6,-0.619627,305.156
Alpha_20,234.5,-0.634546,305.247
Alpha_20,234.4,-0.624091,305.338
Alpha_20,234.3,-0.634435,305.428
Alpha_20,234.2,-0.625457,305.519
Alpha_20,234.1,-0.631825,305.607
Alpha_20,234,-0.616092,305.696
Alpha_20,233.9,-0.625896,305.789
Alpha_20,233.8,-0.672733,305.881
Alpha_20,233.7,-0.707742,305.97
Alpha_20,233.6,-0.717182,306.066
Alpha_20,233.5,-0.76774,306.165
Alpha_20,233.4,-0.767565,306.259
Alpha_20,233.3,-0.819185,306.355
Alpha_20,233.2,-0.857093,306.447
Alpha_20,233.1,-0.902369,306.54
Alpha_20,233,-0.911226,306.637
Alpha_20,232.9,-0.890177,306.729
Alpha_20,232.8,-0.879008,306.825
Alpha_20,232.7,-0.908946,306.919
Alpha_20,232.6,-0.93126,307.014
Alpha_20,232.5,-0.907923,307.105
Alpha_20,232.4,-0.892881,307.201
Alpha_20,232.3,-0.925449,307.293
Alpha_20,232.2,-0.877113,307.384
Alpha_20,232.1,-0.876968,307.473
Alpha_20,232,-0.864453,307.566
Alpha_20,231.9,-0.826082,307.664
Alpha_20,231.8,-0.786383,307.76
Alpha_20,231.7,-0.857539,307.851
Alpha_20,231.6,-0.879266,307.948
Alpha_20,231.5,-0.948278,308.043
Alpha_20,231.4,-0.965486,308.136
Alpha_20,231.3,-1.02401,308.23
Alpha_20,231.2,-1.10672,308.326
Alpha_20,231.1,-1.14028,308.42
Alpha_20,231,-1.08292,308.516
Alpha_20,230.9,-1.12295,308.604
Alpha_20,230.8,-1.20553,308.694
Alpha_20,230.7,-1.22211,308.78
Alpha_20,230.6,-1.30095,308.867
Alpha_20,230.5,-1.37192,308.951
Alpha_20,230.4,-1.39508,309.038
Alpha_20,230.3,-1.39599,309.122
Alpha_20,230.2,-1.39312,309.206
Alpha_20,230.1,-1.3679,309.29
Alpha_20,230,-1.35367,309.376
Alpha_20,229.9,-1.36913,309.463
Alpha_20,229.8,-1.4006,309.55
Alpha_20,229.7,-1.47985,309.635
Alpha_20,229.6,-1.48743,309.731
Alpha_20,229.5,-1.49251,309.823
Alpha_20,229.4,-1.4948,309.921
Alpha_20,229.3,-1.48636,310.019
Alpha_20,229.2,-1.47166,310.117
Alpha_20,229.1,-1.46473,310.212
Alpha_20,229,-1.46053,310.312
Alpha_20,228.9,-1.4843,310.407
Alpha_20,228.8,-1.52807,310.502
Alpha_20,228.7,-1.53759,310.603
Alpha_20,228.6,-1.52996,310.699
Alpha_20,228.5,-1.50429,310.793
Alpha_20,228.4,-1.51024,310.892
Alpha_20,228.3,-1.54513,310.985
Alpha_20,228.2,-1.53875,311.08
Alpha_20,228.1,-1.56926,311.169
Alpha_20,228,-1.5687,311.257
Alpha_20,227.9,-1.62783,311.346
Alpha_20,227.8,-1.60439,311.438
Alpha_20,227.7,-1.6025,311.526
Alpha_20,227.6,-1.54389,311.622
Alpha_20,227.5,-1.51967,311.714
Alpha_20,227.4,-1.53228,311.803
Alpha_20,227.3,-1.55172,311.89
Alpha_20,227.2,-1.62548,311.98
Alpha_20,227.1,-1.65477,312.067
Alpha_20,227,-1.6384,312.159
Alpha_20,226.9,-1.68205,312.248
Alpha_20,226.8,-1.69919,312.336
Alpha_20,226.7,-1.73517,312.424
Alpha_20,226.6,-1.75587,312.51
Alpha_20,226.5,-1.79537,312.596
Alpha_20,226.4,-1.78453,312.688
Alpha_20,226.3,-1.81732,312.776
Alpha_20,226.2,-1.93496,312.868
Alpha_20,226.1,-1.90769,312.96
Alpha_20,226,-1.93114,313.052
Alpha_20,225.9,-1.90041,313.144
Alpha_20,225.8,-1.92574,313.236
Alpha_20,225.7,-1.89135,313.325
Alpha_20,225.6,-1.88241,313.418
Alpha_20,225.5,-1.87397,313.513
Alpha_20,225.4,-1.86959,313.614
Alpha_20,225.3,-1.85083,313.714
Alpha_20,225.2,-1.83935,313.815
Alpha_20,225.1,-1.88991,313.911
Alpha_20,225,-1.93858,314.013
Alpha_20,224.9,-1.85355,314.11
Alpha_20,224.8,-1.83679,314.209
Alpha_20,224.7,-1.84653,314.306
Alpha_20,224.6,-1.83067,314.409
Alpha_20,224.5,-1.84091,314.509
Alpha_20,224.4,-1.80905,314.615
Alpha_20,224.3,-1.83976,314.717
Alpha_20,224.2,-1.76039,314.819
Alpha_20,224.1,-1.74597,314.922
Alpha_20,224,-1.77259,315.025
Alpha_20,223.9,-1.7921,315.129
Alpha_20,223.8,-1.79358,315.234
Alpha_20,223.7,-1.72892,315.338
Alpha_20,223.6,-1.76209,315.439
Alpha_20,223.5,-1.787,315.544
Alpha_20,223.4,-1.79498,315.651
Alpha_20,223.3,-1.79707,315.762
Alpha_20,223.2,-1.741,315.877
Alpha_20,223.1,-1.76661,315.992
Alpha_20,223,-1.82797,316.108
Alpha_20,222.9,-1.84375,316.224
Alpha_20,222.8,-1.87067,316.342
Alpha_20,222.7,-1.8982,316.458
Alpha_20,222.6,-1.90059,316.576
Alpha_20,222.5,-1.85,316.694
Alpha_20,222.4,-1.92986,316.81
Alpha_20,222.3,-1.91813,316.931
Alpha_20,222.2,-1.89935,317.058
Alpha_20,222.1,-1.91384,317.178
Alpha_20,222,-1.89648,317.301
Alpha_20,221.9,-1.95622,317.427
Alpha_20,221.8,-1.98272,317.551
Alpha_20,221.7,-1.97392,317.673
Alpha_20,221.6,-1.9273,317.798
Alpha_20,221.5,-1.93601,317.925
Alpha_20,221.4,-1.91986,318.057
Alpha_20,221.3,-1.94034,318.186
Alpha_20,221.2,-1.94943,318.319
Alpha_20,221.1,-1.92678,318.454
Alpha_20,221,-1.94505,318.596
Alpha_20,220.9,-1.97145,318.731
Alpha_20,220.8,-2.0675,318.869
Alpha_20,220.7,-2.10678,319.008
Alpha_20,220.6,-2.11535,319.146
Alpha_20,220.5,-2.10101,319.283
Alpha_20,220.4,-2.108,319.421
Alpha_20,220.3,-2.13862,319.56
Alpha_20,220.2,-2.13725,319.699
Alpha_20,220.1,-2.20643,319.834
Alpha_20,220,-2.1726,319.972
Alpha_20,219.9,-2.15387,320.107
Alpha_20,219.8,-2.21877,320.248
Alpha_20,219.7,-2.23151,320.387
Alpha_20,219.6,-2.22899,320.529
Alpha_20,219.5,-2.2006,320.67
Alpha_20,219.4,-2.18582,320.812
Alpha_20,219.3,-2.1712,320.953
Alpha_20,219.2,-2.16146,321.095
Alpha_20,219.1,-2.20259,321.237
Alpha_20,219,-2.23302,321.382
Alpha_20,218.9,-2.20656,321.528
Alpha_20,218.8,-2.1885,321.674
Alpha_20,218.7,-2.16458,321.821
Alpha_20,218.6,-2.22982,321.965
Alpha_20,218.5,-2.27758,322.113
Alpha_20,218.4,-2.27214,322.257
Alpha_20,218.3,-2.29089,322.4
Alpha_20,218.2,-2.28759,322.542
Alpha_20,218.1,-2.30259,322.679
Alpha_20,218,-2.29436,322.821
Alpha_20,217.9,-2.30097,322.958
Alpha_20,217.8,-2.31189,323.102
Alpha_20,217.7,-2.27273,323.241
Alpha_20,217.6,-2.26802,323.377
Alpha_20,217.5,-2.32987,323.518
Alpha_20,217.4,-2.33872,323.656
Alpha_20,217.3,-2.32239,323.795
Alpha_20,217.2,-2.26566,323.93
Alpha_20,217.1,-2.22391,324.063
Alpha_20,217,-2.22086,324.195
Alpha_20,216.9,-2.19893,324.328
Alpha_20,216.8,-2.18715,324.464
Alpha_20,216.7,-2.21823,324.599
Alpha_20,216.6,-2.27241,324.734
Alpha_20,216.5,-2.28057,324.865
Alpha_20,216.4,-2.25901,324.995
Alpha_20,216.3,-2.33089,325.124
Alpha_20,216.2,-2.36178,325.251
Alpha_20,216.1,-2.41981,325.38
Alpha_20,216,-2.42642,325.514
Alpha_20,215.9,-2.43178,325.647
Alpha_20,215.8,-2.41681,325.782
Alpha_20,215.7,-2.48481,325.913
Alpha_20,215.6,-2.46833,326.043
Alpha_20,215.5,-2.56606,326.176
Alpha_20,215.4,-2.54917,326.314
Alpha_20,215.3,-2.60205,326.449
Alpha_20,215.2,-2.5759,326.585
Alpha_20,215.1,-2.65283,326.721
Alpha_20,215,-2.68363,326.86
Alpha_20,214.9,-2.66414,326.996
Alpha_20,214.8,-2.6913,327.133
Alpha_20,214.7,-2.59628,327.268
Alpha_20,214.6,-2.62178,327.405
Alpha_20,214.5,-2.64488,327.54
Alpha_20,214.4,-2.61396,327.683
Alpha_20,214.3,-2.60329,327.825
Alpha_20,214.2,-2.62429,327.973
Alpha_20,214.1,-2.63774,328.113
Alpha_20,214,-2.63099,328.259
Alpha_20,213.9,-2.69312,328.406
Alpha_20,213.8,-2.725,328.557
Alpha_20,213.7,-2.74388,328.709
Alpha_20,213.6,-2.75673,328.867
Alpha_20,213.5,-2.67904,329.024
Alpha_20,213.4,-2.73328,329.186
Alpha_20,213.3,-2.77398,329.347
Alpha_20,213.2,-2.80396,329.51
Alpha_20,213.1,-2.83718,329.671
Alpha_20,213,-2.83563,329.833
Alpha_20,212.9,-2.82976,329.995
Alpha_20,212.8,-2.76377,330.159
Alpha_20,212.7,-2.73511,330.321
Alpha_20,212.6,-2.76735,330.48
Alpha_20,212.5,-2.69004,330.641
Alpha_20,212.4,-2.62563,330.809
Alpha_20,212.3,-2.63511,330.973
Alpha_20,212.2,-2.66062,331.137
Alpha_20,212.1,-2.70893,331.3
Alpha_20,212,-2.69849,331.465
Alpha_20,211.9,-2.66543,331.631
Alpha_20,211.8,-2.70416,331.794
Alpha_20,211.7,-2.63947,331.96
Alpha_20,211.6,-2.70097,332.128
Alpha_20,211.5,-2.7363,332.297
Alpha_20,211.4,-2.77949,332.461
Alpha_20,211.3,-2.77672,332.629
Alpha_20,211.2,-2.77667,332.795
Alpha_20,211.1,-2.85818,332.955
Alpha_20,211,-2.89537,333.118
Alpha_20,210.9,-2.885,333.277
Alpha_20,210.8,-2.92369,333.436
Alpha_20,210.7,-2.93379,333.589
Alpha_20,210.6,-2.96431,333.746
Alpha_20,210.5,-3.00209,333.901
Alpha_20,210.4,-3.11258,334.055
Alpha_20,210.3,-3.14598,334.205
Alpha_20,210.2,-3.16045,334.356
Alpha_20,210.1,-3.13236,334.503
Alpha_20,210,-3.114,334.65
Alpha_20,209.9,-3.12212,334.797
Alpha_20,209.8,-3.1025,334.945
Alpha_20,209.7,-3.11901,335.092
Alpha_20,209.6,-3.15252,335.234
Alpha_20,209.5,-3.09224,335.376
Alpha_20,209.4,-3.1579,335.519
Alpha_20,209.3,-3.20873,335.658
Alpha_20,209.2,-3.16254,335.8
Alpha_20,209.1,-3.1974,335.934
Alpha_20,209,-3.16524,336.075
Alpha_20,208.9,-3.15939,336.212
Alpha_20,208.8,-3.15781,336.351
Alpha_20,208.7,-3.18017,336.487
Alpha_20,208.6,-3.21871,336.625
Alpha_20,208.5,-3.23898,336.76
Alpha_20,208.4,-3.24447,336.898
Alpha_20,208.3,-3.2673,337.034
Alpha_20,208.2,-3.32316,337.169
Alpha_20,208.1,-3.27295,337.309
Alpha_20,208,-3.23956,337.458
Alpha_20,207.9,-3.22728,337.601
Alpha_20,207.8,-3.2265,337.743
Alpha_20,207.7,-3.21944,337.886
Alpha_20,207.6,-3.28942,338.024
Alpha_20,207.5,-3.35167,338.167
Alpha_20,207.4,-3.39296,338.312
Alpha_20,207.3,-3.40717,338.461
Alpha_20,207.2,-3.47631,338.605
Alpha_20,207.1,-3.51847,338.745
Alpha_20,207,-3.56731,338.888
Alpha_20,206.9,-3.57144,339.029
Alpha_20,206.8,-3.64224,339.168
Alpha_20,206.7,-3.67421,339.303
Alpha_20,206.6,-3.78838,339.441
Alpha_20,206.5,-3.8145,339.58
Alpha_20,206.4,-3.80849,339.714
Alpha_20,206.3,-3.87855,339.854
Alpha_20,206.2,-3.86947,339.989
Alpha_20,206.1,-3.92418,340.122
Alpha_20,206,-4.00894,340.256
Alpha_20,205.9,-4.03527,340.384
Alpha_20,205.8,-3.93763,340.521
Alpha_20,205.7,-3.9172,340.657
Alpha_20,205.6,-3.84862,340.793
Alpha_20,205.5,-3.77821,340.928
Alpha_20,205.4,-3.72707,341.064
Alpha_20,205.3,-3.7132,341.194
Alpha_20,205.2,-3.68748,341.337
Alpha_20,205.1,-3.62039,341.473
Alpha_20,205,-3.58234,341.609
Alpha_20,204.9,-3.50771,341.74
Alpha_20,204.8,-3.43594,341.878
Alpha_20,204.7,-3.32726,342.014
Alpha_20,204.6,-3.19519,342.151
Alpha_20,204.5,-3.14643,342.293
Alpha_20,204.4,-3.15586,342.43
Alpha_20,204.3,-3.14664,342.57
Alpha_20,204.2,-3.23572,342.708
Alpha_20,204.1,-3.17727,342.842
Alpha_20,204,-3.1202,342.985
Alpha_20,203.9,-3.08881,343.12
Alpha_20,203.8,-3.13323,343.258
Alpha_20,203.7,-3.12057,343.403
Alpha_20,203.6,-3.10468,343.553
Alpha_20,203.5,-3.03488,343.709
Alpha_20,203.4,-3.00405,343.868
Alpha_20,203.3,-2.95066,344.025
Alpha_20,203.2,-2.93537,344.177
Alpha_20,203.1,-2.86833,344.335
Alpha_20,203,-2.86649,344.494
Alpha_20,202.9,-2.71129,344.656
Alpha_20,202.8,-2.69197,344.822
Alpha_20,202.7,-2.75364,344.994
Alpha_20,202.6,-2.71257,345.171
Alpha_20,202.5,-2.58175,345.343
Alpha_20,202.4,-2.57066,345.513
Alpha_20,202.3,-2.56571,345.686
Alpha_20,202.2,-2.50213,345.862
Alpha_20,202.1,-2.44501,346.037
Alpha_20,202,-2.37989,346.216
Alpha_20,201.9,-2.40249,346.399
Alpha_20,201.8,-2.3889,346.586
Alpha_20,201.7,-2.37938,346.771
Alpha_20,201.6,-2.31058,346.96
Alpha_20,201.5,-2.24753,347.149
Alpha_20,201.4,-2.14218,347.345
Alpha_20,201.3,-2.04454,347.532
Alpha_20,201.2,-2.01039,347.723
Alpha_20,201.1,-1.90883,347.921
Alpha_20,201,-1.7494,348.129
Alpha_20,200.9,-1.66328,348.331
Alpha_20,200.8,-1.5093,348.542
Alpha_20,200.7,-1.41102,348.747
Alpha_20,200.6,-1.3348,348.959
Alpha_20,200.5,-1.2549,349.17
Alpha_20,200.4,-1.14611,349.385
Alpha_20,200.3,-1.11127,349.607
Alpha_20,200.2,-1.00417,349.829
Alpha_20,200.1,-0.840684,350.057
Alpha_20,200,-0.732092,350.285
Alpha_20,199.9,-0.606968,350.522
Alpha_20,199.8,-0.567273,350.765
Alpha_20,199.7,-0.508599,351.003
Alpha_20,199.6,-0.456615,351.244
Alpha_20,199.5,-0.416665,351.492
Alpha_20,199.4,-0.289758,351.743
Alpha_20,199.3,-0.15952,352
Alpha_20,199.2,-0.00249138,352.265
Alpha_20,199.1,0.194878,352.528
Alpha_20,199,0.298981,352.796
Alpha_20,198.9,0.473995,353.073
Alpha_20,198.8,0.547973,353.347
Alpha_20,198.7,0.67707,353.628
Alpha_20,198.6,0.82159,353.918
Alpha_20,198.5,0.962483,354.212
Alpha_20,198.4,1.19127,354.517
Alpha_20,198.3,1.29884,354.83
Alpha_20,198.2,1.47507,355.147
Alpha_20,198.1,1.49713,355.475
Alpha_20,198,1.54432,355.814
Alpha_20,197.9,1.56938,356.154
Alpha_20,197.8,1.7208,356.512
Alpha_20,197.7,1.85644,356.877
Alpha_20,197.6,1.9971,357.254
Alpha_20,197.5,2.15358,357.643
Alpha_20,197.4,2.2927,358.047
Alpha_20,197.3,2.42869,358.457
Alpha_20,197.2,2.52609,358.878
Alpha_20,197.1,2.57074,359.305
Alpha_20,197,2.64751,359.743
Alpha_20,196.9,2.79368,360.191
Alpha_20,196.8,2.98335,360.652
Alpha_20,196.7,3.16978,361.119
Alpha_20,196.6,3.32842,361.599
Alpha_20,196.5,3.39245,362.091
Alpha_20,196.4,3.532,362.595
Alpha_20,196.3,3.57695,363.103
Alpha_20,196.2,3.56157,363.621
Alpha_20,196.1,3.65472,364.149
Alpha_20,196,3.77335,364.687
Alpha_20,195.9,3.89717,365.232
Alpha_20,195.8,4.01301,365.788
Alpha_20,195.7,4.13235,366.354
Alpha_20,195.6,4.20756,366.926
Alpha_20,195.5,4.25573,367.5
Alpha_20,195.4,4.21958,368.087
Alpha_20,195.3,4.27875,368.673
Alpha_20,195.2,4.32111,369.261
Alpha_20,195.1,4.42492,369.849
Alpha_20,195,4.38443,370.446
Alpha_20,194.9,4.48523,371.038
Alpha_20,194.8,4.47994,371.631
Alpha_20,194.7,4.45879,372.222
Alpha_20,194.6,4.40907,372.818
Alpha_20,194.5,4.46033,373.404
Alpha_20,194.4,4.48122,373.989
Alpha_20,194.3,4.4631,374.566
Alpha_20,194.2,4.43689,375.146
Alpha_20,194.1,4.44083,375.714
Alpha_20,194,4.40686,376.283
Alpha_20,193.9,4.40471,376.845
Alpha_20,193.8,4.40135,377.408
Alpha_20,193.7,4.33572,377.961
Alpha_20,193.6,4.31926,378.512
Alpha_20,193.5,4.35549,379.052
Alpha_20,193.4,4.22046,379.584
Alpha_20,193.3,4.25183,380.104
Alpha_20,193.2,4.09736,380.613
Alpha_20,193.1,3.97209,381.109
Alpha_20,193,3.92897,381.596
Alpha_20,192.9,3.88831,382.068
Alpha_20,192.8,3.83919,382.532
Alpha_20,192.7,3.84394,382.976
Alpha_20,192.6,3.82062,383.409
Alpha_20,192.5,3.68579,383.824
Alpha_20,192.4,3.57235,384.226
Alpha_20,192.3,3.59319,384.613
Alpha_20,192.2,3.53704,384.989
Alpha_20,192.1,3.56643,385.358
Alpha_20,192,3.44367,385.722
Alpha_20,191.9,3.37367,386.074
Alpha_20,191.8,3.37562,386.424
Alpha_20,191.7,3.22805,386.761
Alpha_20,191.6,3.28472,387.093
Alpha_20,191.5,3.17353,387.414
Alpha_20,191.4,3.02954,387.732
Alpha_20,191.3,2.96848,388.056
Alpha_20,191.2,2.90213,388.38
Alpha_20,191.1,2.90535,388.69
Alpha_20,191,2.77775,388.996
Alpha_20,190.9,2.57353,389.296
Alpha_20,190.8,2.44615,389.584
Alpha_20,190.7,2.4396,389.864
Alpha_20,190.6,2.16165,390.136
Alpha_20,190.5,2.0556,390.398
Alpha_20,190.4,2.03639,390.65
Alpha_20,190.3,1.84658,390.897
Alpha_20,190.2,1.73742,391.149
Alpha_20,190.1,1.64198,391.394
Alpha_20,190,1.43331,391.629
Alpha_40,250,0.336198,295.431
Alpha_40,249.9,0.366476,295.472
Alpha_40,249.8,0.342146,295.511
Alpha_40,249.7,0.369764,295.552
Alpha_40,249.6,0.365829,295.591
Alpha_40,249.5,0.364863,295.634
Alpha_40,249.4,0.327386,295.682
Alpha_40,249.3,0.343954,295.726
Alpha_40,249.2,0.312397,295.768
Alpha_40,249.1,0.301458,295.81
Alpha_40,249,0.294563,295.857
Alpha_40,248.9,0.274255,295.9
Alpha_40,248.8,0.291538,295.946
Alpha_40,248.7,0.298333,295.982
Alpha_40,248.6,0.27524,296.014
Alpha_40,248.5,0.294327,296.053
Alpha_40,248.4,0.337381,296.091
Alpha_40,248.3,0.385367,296.132
Alpha_40,248.2,0.442578,296.18
Alpha_40,248.1,0.403337,296.218
Alpha_40,248,0.422335,296.256
Alpha_40,247.9,0.460974,296.3
Alpha_40,247.8,0.441421,296.341
Alpha_40,247.7,0.445742,296.38
Alpha_40,247.6,0.432458,296.42
Alpha_40,247.5,0.337122,296.465
Alpha_40,247.4,0.277557,296.51
Alpha_40,247.3,0.250555,296.557
Alpha_40,247.2,0.218288,296.609
Alpha_40,247.1,0.166034,296.659
Alpha_40,247,0.127305,296.707
Alpha_40,246.9,0.0946003,296.749
Alpha_40,246.8,0.110272,296.798
Alpha_40,246.7,0.115347,296.848
Alpha_40,246.6,0.10344,296.899
Alpha_40,246.5,0.067453,296.948
Alpha_40,246.4,0.0679478,297.001
Alpha_40,246.3,0.079113,297.051
Alpha_40,246.2,0.157075,297.097
Alpha_40,246.1,0.213746,297.143
Alpha_40,246,0.278566,297.195
Alpha_40,245.9,0.278693,297.244
Alpha_40,245.8,0.282419,297.29
Alpha_40,245.7,0.291958,297.337
Alpha_40,245.6,0.278809,297.387
Alpha_40,245.5,0.304778,297.436
Alpha_40,245.4,0.303307,297.484
Alpha_40,245.3,0.276577,297.532
Alpha_40,245.2,0.310717,297.581
Alpha_40,245.1,0.306291,297.628
Alpha_40,245,0.300628,297.68
Alpha_40,244.9,0.313112,297.734
Alpha_40,244.8,0.328835,297.788
Alpha_40,244.7,0.368658,297.837
Alpha_40,244.6,0.358984,297.888
Alpha_40,244.5,0.370056,297.938
Alpha_40,244.4,0.314051,297.993
Alpha_40,244.3,0.259983,298.049
Alpha_40,244.2,0.214799,298.103
Alpha_40,244.1,0.198064,298.157
Alpha_40,244,0.238303,298.21
Alpha_40,243.9,0.19302,298.263
Alpha_40,243.8,0.180209,298.317
Alpha_40,243.7,0.176199,298.374
Alpha_40,243.6,0.150356,298.434
Alpha_40,243.5,0.1738,298.496
Alpha_40,243.4,0.133432,298.557
Alpha_40,243.3,0.0966862,298.617
Alpha_40,243.2,0.104613,298.678
Alpha_40,243.1,0.112365,298.739
Alpha_40,243,0.151781,298.798
Alpha_40,242.9,0.163233,298.858
Alpha_40,242.8,0.181457,298.92
Alpha_40,242.7,0.162397,298.986
Alpha_40,242.6,0.175145,299.056
Alpha_40,242.5,0.141797,299.126
Alpha_40,242.4,0.125759,299.191
Alpha_40,242.3,0.1072,299.254
Alpha_40,242.2,0.101638,299.318
Alpha_40,242.1,0.0836041,299.383
Alpha_40,242,0.0253235,299.449
Alpha_40,241.9,0.0212021,299.518
Alpha_40,241.8,-0.0121693,299.588
Alpha_40,241.7,0.0328602,299.657
Alpha_40,241.6,0.0202961,299.727
Alpha_40,241.5,0.0203876,299.797
Alpha_40,241.4,0.00570908,299.865
Alpha_40,241.3,-0.0362103,299.933
Alpha_40,241.2,-0.0581387,300.004
Alpha_40,241.1,-0.0909191,300.077
Alpha_40,241,-0.129805,300.149
Alpha_40,240.9,-0.156984,300.22
Alpha_40,240.8,-0.2018,300.292
Alpha_40,240.7,-0.159873,300.365
Alpha_40,240.6,-0.173401,300.439
Alpha_40,240.5,-0.193367,300.512
Alpha_40,240.4,-0.234662,300.588
Alpha_40,240.3,-0.20248,300.665
Alpha_40,240.2,-0.211682,300.741
Alpha_40,240.1,-0.224548,300.82
Alpha_40,240,-0.186468,300.9
Alpha_40,239.9,-0.149384,300.978
Alpha_40,239.8,-0.0911861,301.056
Alpha_40,239.7,-0.064056,301.137
Alpha_40,239.6,-0.0959736,301.218
Alpha_40,239.5,-0.109784,301.299
Alpha_40,239.4,-0.075779,301.383
Alpha_40,239.3,-0.0962837,301.464
Alpha_40,239.2,-0.0826927,301.551
Alpha_40,239.1,-0.101442,301.637
Alpha_40,239,-0.131755,301.722
Alpha_40,238.9,-0.200805,301.806
Alpha_40,238.8,-0.174068,301.893
Alpha_40,238.7,-0.192673,301.977
Alpha_40,238.6,-0.203485,302.061
Alpha_40,238.5,-0.232772,302.147
Alpha_40,238.4,-0.205988,302.236
Alpha_40,238.3,-0.205184,302.325
Alpha_40,238.2,-0.205914,302.413
Alpha_40,238.1,-0.208506,302.497
Alpha_40,238,-0.279277,302.585
Alpha_40,237.9,-0.264157,302.673
Alpha_40,237.8,-0.272557,302.761
Alpha_40,237.7,-0.283191,302.849
Alpha_40,237.6,-0.275732,302.942
Alpha_40,237.5,-0.323843,303.035
Alpha_40,237.4,-0.297778,303.128
Alpha_40,237.3,-0.376407,303.224
Alpha_40,237.2,-0.417846,303.317
Alpha_40,237.1,-0.48238,303.412
Alpha_40,237,-0.558138,303.507
Alpha_40,236.9,-0.552046,303.597
Alpha_40,236.8,-0.589265,303.69
Alpha_40,236.7,-0.53743,303.784
Alpha_40,236.6,-0.556383,303.877
Alpha_40,236.5,-0.592663,303.975
Alpha_40,236.4,-0.599187,304.067
Alpha_40,236.3,-0.619064,304.163
Alpha_40,236.2,-0.60702,304.26
Alpha_40,236.1,-0.618051,304.355
Alpha_40,236,-0.644289,304.449
Alpha_40,235.9,-0.6581,304.545
Alpha_40,235.8,-0.665655,304.642
Alpha_40,235.7,-0.663641,304.738
Alpha_40,235.6,-0.704635,304.834
Alpha_40,235.5,-0.680486,304.934
Alpha_40,235.4,-0.706537,305.033
Alpha_40,235.3,-0.74472,305.134
Alpha_40,235.2,-0.778947,305.226
Alpha_40,235.1,-0.793034,305.328
Alpha_40,235,-0.800705,305.427
Alpha_40,234.9,-0.852715,305.513
Alpha_40,234.8,-0.90583,305.61
